id;h_trocarno;d_ealer;d_atarezsaufactura;d_ataexpirare;r_esdealerid;t_iplinie;l_ocatie;l_unaproductie;l_unasosireintara;c_odmodel;t_ipautovehicul;c_odculoareext;c_uloareexterior;c_uloare_integer_erior;o_bservatii;n_umeclient;n_umevanzator;v_in;e_ngineno;a_nfabricatiecfciv;o_mologareindividuala;p_retlista;d_iscountstandard;d_iscountsuplimentar;t_rusalegislativa;p_retfinal;a_vansplatit;r_estdeplata;c_ustomertrxid;r_ezcustid;s_oldcustid;p_roforma;t_ransport
1;81722;Macao Equatorial Guinea Vision-oriented;Agent;Human deposit;33902;cross-media;programming SCSI drive;invoice Unbranded Cheese;New Zealand Dollar Alabama transform;invoice Home Gloves;Buckinghamshire Ports;Devolved driver Networked;Fish;payment calculating;local area network Benin;turn-key dedicated;Wisconsin;target Human withdrawal;dot-com payment Libyan Dinar;86416;Re-contextualized;49919;28077;57200;2431;76855;64547;4360;17711;Applications Response Human;37015;true;false
2;95307;hardware Venezuela Wisconsin;SDD disintermediate reinvent;eco-centric Bedfordshire mesh;39469;calculating Intranet Ergonomic Concrete Soap;Director Concrete Bedfordshire;portal calculating Metal;real-time discrete redundant;Synergistic Personal Loan Account Sleek;Borders;olive Handcrafted Cotton Bacon Unbranded Fresh Pants;incubate;interfaces;Garden Dale Wallis and Futuna;generating;Computers Small Fresh Gloves back-end;interface;compress lavender Investment Account;8534;Intelligent Granite Shirt Peru deposit;72609;13274;97585;96953;51630;71459;32295;4106;morph content bypass;25086;false;false
3;96264;navigating;Som Rustic Frozen Keyboard ROI;Benin;71459;invoice;invoice;alarm Jamaica;system Gorgeous Rubber Pants;hack;leading-edge;Ergonomic Steel Gloves;Developer Shoes Music;Buckinghamshire Hollow Shoes;withdrawal Generic Frozen Tuna;Gorgeous Cotton Chair Personal Loan Account Borders;Norfolk Island Chilean Peso Unidades de fomento Checking Account;invoice Outdoors New York;multi-byte Jamaican Dollar North Carolina;12850;haptic parsing;62593;38610;82042;96119;65148;90535;20668;19579;Intelligent Wooden Shirt;1822;false;false
4;61825;robust withdrawal generate;Garden open-source hybrid;Solomon Islands Dollar;34833;Accountability Handmade Cotton Bacon;intermediate Table quantify;Wyoming interface Cotton;quantify;JSON Texas;bandwidth;application Configurable iterate;Berkshire navigating;superstructure;streamline;Interactions;Fantastic time-frame Quality;Borders Borders Practical;methodical;32866;Danish Krone parse;79157;78129;78961;11346;9120;93092;49442;97424;Designer;5587;false;true
5;88770;cross-media Frozen;Syrian Pound;Auto Loan Account Refined Practical;70096;Fantastic Fresh Salad;Steel Avon Visionary;exploit transition;User-centric Principal Pennsylvania;repurpose Sleek;mesh system Triple-buffered;Cotton;Advanced grow;Handmade Wooden Cheese Fresh;input Naira;Markets;Glen Refined;Mandatory Assistant;Strategist;55600;success;4340;52770;92464;99296;91911;7379;25299;55385;Associate Central African Republic Savings Account;69574;false;false
6;99583;Naira iterate;Unbranded Plastic Chips Brand Regional;Generic B2B;16967;withdrawal;one-to-one Indiana;holistic;Architect;Beauty dynamic schemas;Pound Sterling Keyboard;Licensed Usability models;Personal Loan Account markets;SCSI Aruba Chair;drive online;Liaison engage navigate;Assistant generating;Practical Steel Shirt Plastic Movies;SMS;81290;Producer Agent;55543;58514;76898;72612;94476;75708;84964;37785;Multi-channelled;20504;false;false
7;95405;Savings Account;SMTP;Checking Account global Steel;67157;Kyrgyz Republic transmit;solution connecting;California PNG engage;Burg;transmit Credit Card Account;digital Corporate Checking Account;seamless New York mesh;Unbranded array;Berkshire solid state;middleware Switzerland;Data Granite Configuration;compress Practical Steel Chips;Berkshire concept;Illinois robust;53726;Creek;58476;15190;40030;13882;69766;64087;18006;18188;best-of-breed Human Mission;66755;true;false
8;60193;Automated;Pants even-keeled Chair;Brazil;53442;sticky Regional;Bedfordshire;alliance Licensed Plaza;Sleek GB Regional;Home;primary quantify Chips;Guyana;Bedfordshire Auto Loan Account back-end;monitor Small Wooden Ball;feed;connecting generate Music;Inlet Hungary Configurable;interface;Toys;32207;blue internet solution Concrete;89052;34292;59359;47396;67910;35510;78917;64882;Club Nebraska;73682;true;true
9;74543;architectures Cotton;viral;payment Illinois dot-com;98651;Personal Loan Account;Music;Pants;Avon;blue scalable Car;bypassing Sleek Steel Shirt Rand Namibia Dollar;Fresh incubate Agent;Jewelery Engineer Bedfordshire;Tanzanian Shilling Assurance Nebraska;Gardens synthesizing;silver;system;Buckinghamshire;Bouvet Island (Bouvetoya);70723;copy Awesome;50610;15436;93201;48114;32064;53258;59388;5182;bleeding-edge Rubber;6337;true;true
10;20173;Trinidad and Tobago Dollar;Customer-focused;Shoes Rubber Mall;60610;cross-platform Unbranded;calculating Administrator Frozen;Representative mint green streamline;synthesize Arizona synthesizing;synthesizing;indigo Bacon Mouse;Programmable payment National;HDD;Tanzanian Shilling Lights;e-enable Plaza intranet;convergence Idaho customized;synthesize Bahrain;Pre-emptive Bouvet Island (Bouvetoya) experiences;Credit Card Account;33490;Wooden optical Investment Account;53346;74146;89389;57315;78859;99769;15167;75240;program;77857;true;false
